dropoff_longitude,pickup_longitude,pickup_latitude,dropoff_latitude
-73.983612,-74.01310699999999,40.702346999999996,40.750748
-73.950317,-73.98230699999999,40.768402,40.783714
-73.962654,-73.974983,40.756634000000005,40.766949
-73.948265,-73.945229,40.786976,40.803936
-73.97779799999999,-73.98865500000001,40.769264,40.760914
-73.94043,-73.950737,40.723949,40.724693
-73.990219,-73.952873,40.772259000000005,40.751472
-73.975487,-73.975449,40.760909999999996,40.766193
-73.9664,-73.976463,40.765839,40.804131
-74.009491,-73.98259,40.773888,40.725986
-73.986824,-74.002213,40.721565000000005,40.756306
-73.969429,-73.95195,40.769619,40.759735
-73.98715200000001,-73.98249799999999,40.765713,40.73597
-73.973228,-73.991196,40.750233,40.753116999999996
-73.96714,-73.96714,40.759201000000004,40.759201000000004
-73.965294,-73.86277,40.769047,40.801163
-73.978615,-73.978638,40.763081,40.785015
-73.917198,-73.958931,40.761688,40.764835
-73.946861,-73.972923,40.760166,40.772545
-73.984612,-73.97305300000001,40.78582,40.77673
-73.981606,-73.981606,40.767609,40.767609
-73.995544,-73.976479,40.764164,40.733421
-73.983627,-73.995171,40.759434000000006,40.749565000000004
-73.94414499999999,-73.97447199999999,40.778095,40.819775
-73.98853299999999,-74.005157,40.740936,40.746445
-74.01344300000001,-74.01020799999999,40.720711,40.715946
-73.993713,-73.985237,40.778496000000004,40.767178
-73.95903,-73.97890500000001,40.724109999999996,40.713566
-73.987206,-73.990128,40.734715,40.759125
-73.98864,-73.974915,40.746798999999996,40.710339000000005
-73.98354300000001,-74.007019,40.730721,40.743969
-73.981865,-73.977905,40.761913,40.768406
-73.99225600000001,-73.993515,40.7384,40.725479
-73.990669,-73.975098,40.755444,40.755322
-73.965019,-73.864853,40.770382,40.766636
-74.016678,-73.988838,40.752753999999996,40.707024
-73.972664,-73.863632,40.769366999999995,40.755928000000004
-73.84874,-73.87091099999999,40.773804,40.738895
-73.989357,-73.986343,40.745831,40.741768
-73.978172,-73.984543,40.761348999999996,40.783436
-73.96578199999999,-73.789986,40.643496999999996,40.792061
-73.96125,-73.979469,40.752659,40.757560999999995
-73.986145,-73.98844100000001,40.743519,40.730903999999995
-73.818344,-73.864487,40.769127000000005,40.664532
-73.983414,-74.001358,40.736305,40.728297999999995
-73.970329,-73.98021700000001,40.75399,40.752720000000004
-73.95973199999999,-73.952179,40.781303,40.773834
-73.99266800000001,-73.956337,40.779751,40.762756
-73.988106,-73.77681,40.645779,40.757446
-73.955162,-73.971817,40.746201,40.76899
-73.98565699999999,-73.983154,40.76363,40.778633
-73.986633,-73.995361,40.759479999999996,40.719597
-73.990356,-73.979607,40.734936,40.750687
-73.986786,-73.99584200000001,40.726231,40.722286
-74.000786,-73.98838,40.736801,40.746307
-73.954964,-73.982178,40.767567,40.770119
-73.988365,-73.998558,40.727882,40.718361
-73.981163,-74.016563,40.705391,40.720721999999995
-73.973251,-73.980202,40.780781,40.785267
-74.00318100000001,-74.00725600000001,40.728535,40.733612
-74.004013,-73.98667900000001,40.760239,40.732918
-74.013931,-73.992775,40.728428,40.702702
-73.97841600000001,-73.983688,40.726002,40.721581
-73.97197,-74.000793,40.710751,40.765178999999996
-73.956825,-73.957939,40.800934000000005,40.812634
-73.962097,-73.956772,40.777874,40.770603
-73.97187,-73.97036700000001,40.757805,40.786396
-73.99047900000001,-73.984299,40.743382000000004,40.7248
-73.93534100000001,-73.987,40.766506,40.800976
-73.954971,-73.956879,40.767967,40.780196999999994
-73.987312,-73.986847,40.757603,40.756935
-73.95488,-73.979034,40.750744,40.783405
-73.950478,-73.96077,40.781013,40.775269
-73.949005,-73.954651,40.781166,40.779362
-73.984406,-73.961388,40.771534,40.744389
-73.998856,-73.970543,40.785858000000005,40.723267
-73.962547,-73.789063,40.647251000000004,40.717068
-73.96820799999999,-73.864777,40.771194,40.689838
-73.957161,-73.950294,40.772125,40.766338
-73.86751600000001,-73.89392099999999,40.75462,40.742924
-73.981522,-73.985794,40.755848,40.779175
-73.982651,-73.952812,40.789528000000004,40.781586
-73.966064,-74.00329599999999,40.713837,40.690048
-74.000175,-73.995476,40.749485,40.737865
-73.999916,-73.996284,40.599667,40.594131
-74.010391,-73.98781600000001,40.7383,40.703228
-73.957504,-73.995354,40.725967,40.77684
-73.981865,-73.973381,40.792694,40.771961
-73.99724599999999,-73.959663,40.773933,40.725651
-73.974007,-73.958107,40.773078999999996,40.750443
-73.9757,-73.994209,40.754383000000004,40.733105
-73.974602,-73.97949200000001,40.784283,40.7962
-73.981285,-73.97406,40.755005,40.730789
-73.98648100000001,-73.99939,40.743961,40.764896
-73.94950899999999,-73.977463,40.787407,40.776996999999994
-73.98608399999999,-73.978302,40.734466999999995,40.740967
-73.97776800000001,-73.98848000000001,40.723141,40.738121
-73.997055,-73.973061,40.756557,40.72554
-73.997704,-73.99266800000001,40.743621999999995,40.727406
-73.995216,-73.995956,40.744198,40.736633000000005
-73.87289399999999,-73.949844,40.772076,40.774311
-73.958122,-73.96653,40.804522999999996,40.783909
-73.976189,-73.996597,40.737919,40.740406
-73.97704300000001,-73.987076,40.749493,40.776752
-73.98691600000001,-73.983704,40.754585,40.721195
-73.973381,-73.973534,40.763447,40.756115
-73.962379,-73.982414,40.776588000000004,40.764084000000004
